submission_date,industry,job_function,job_title,annual_salary_gross,additional_compensation,currency,country,city,remote_or_onsite,experience_field,education_level,gender,race
2023-04-11,Computing or Tech,Computing or Tech,Developer II,88480.48,0.0,GBP,USA,New York,Fully remote,1 year or less,Master's degree,Woman,White
2023-04-11,Media & Digital,Art & Design,senior designer,559035.76,2010.9199999999998,GBP,USA,New York City,Hybrid,11-20 years,Master's degree,Woman,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,CIvil Engineer,80436.8,4021.8399999999997,GBP,USA,Virginia Beach,Hybrid,5-7 years,Master's degree,Man,White
2023-04-11,Computing or Tech,Administration,Administrative Assistant,44369.743248,0.0,GBP,USA,Boston,Hybrid,2-4 years,College degree,Woman,"Asian or Asian American, White"
2023-04-11,Nonprofits,Research,Project Manager,78425.87999999999,0.0,GBP,USA,Brattleboro,Fully remote,1 year or less,Master's degree,Woman,White
2023-04-11,Sales,Sales,Sales representative ,25022.13,0.0,GBP,Uganda,"Victoria, BC",On-site,8-10 years,College degree,Woman,White
2023-04-11,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Archivist,37000.0,0.0,GBP,UK,Prefer not to say,On-site,11-20 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Health care,Buyer ,56305.759999999995,0.0,GBP,USA,New York ,Hybrid,1 year or less,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Advisor,54810.38,0.0,GBP,Uganda,Montreal,Hybrid,5-7 years,Master's degree,Woman,White
2023-04-11,Nonprofits,Nonprofits,Rector,44381.513675,0.0,GBP,Uganda,Edmonton,Hybrid,8-10 years,Master's degree,Woman,White
2023-04-11,Health care,Business or Consulting,Manager,110198.416,16087.359999999999,GBP,USA,Twin Cities,Fully remote,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Health care,"Accounting, Banking & Finance",Financial Specialist,38480.96512,0.0,GBP,USA,Lexington,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Product Owner,71435.92208,1608.7359999999999,GBP,USA,Minneapolis,Fully remote,8-10 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Administration,Sales Coordinator,44240.24,3860.9664,GBP,USA,Brooklyn,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Business or Consulting,Transport or Logistics,Senior Associate,72393.12,0.0,GBP,USA,Dallas,Fully remote,11-20 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Product Manager,111002.784,4021.8399999999997,GBP,USA,Kansas City,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),High School Teacher,41703.549999999996,0.0,GBP,Uganda,"Orangeville, Ontario",On-site,5-7 years,College degree,Man,White
2023-04-11,Computing or Tech,Computing or Tech,Information Security Director,104258.875,5957.65,GBP,Uganda,Halifax,Fully remote,21-30 years,Some college,Man,White
2023-04-11,Health care,"Marketing, Advertising & PR",Senior CRM Manager,120655.2,0.0,GBP,USA,Ossining,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,Nonprofits,Nonprofits,Grant Administrator,64349.439999999995,1608.7359999999999,GBP,USA,Bozeman,On-site,2-4 years,College degree,Woman,White
2023-04-11,Media & Digital,Media & Digital,Motion Graphics Animator,50675.184,804.3679999999999,GBP,USA,Royal Oak,Hybrid,5-7 years,College degree,Non-binary,Asian or Asian American
2023-04-11,Computing or Tech,Computing or Tech,Software Engineer ,68753.147,0.0,GBP,Ireland,Galway ,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Agriculture or Forestry,Recruitment or HR,Human Resources Manager,49106.6664,7359.9672,GBP,USA,North Port,Hybrid,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
2023-04-11,Nonprofits,Nonprofits,Grants & Compliance Manager,47296.8384,0.0,GBP,USA,Miami,On-site,8-10 years,Master's degree,Woman,White
2023-04-11,Nonprofits,"Marketing, Advertising & PR",Content Manager,34185.64,0.0,GBP,USA,Raleigh,Hybrid,5-7 years,Master's degree,Woman,White
2023-04-11,Nonprofits,Government Affairs & Lobbying,advocacy coordinator,42631.504,0.0,GBP,USA,eastern NC,Fully remote,2-4 years,College degree,Woman,White
2023-04-11,Computing or Tech,Sales,Sr. Customer Success Manager,106176.576,8043.679999999999,GBP,USA,Portland,Fully remote,8-10 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,Owner,292789.952,0.0,GBP,USA,Atlanta,Fully remote,31-40 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2023-04-11,Nonprofits,Development/Fundraising,Senior Grants Manager,60327.6,0.0,GBP,USA,"Washington, DC",Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Media & Digital,"Marketing, Advertising & PR","Director, Programmatic Advertising",89284.848,8043.679999999999,GBP,USA,Chicago,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),teacher,57110.128,2413.104,GBP,USA,Mascoutah,On-site,21-30 years,Master's degree,Woman,White
2023-04-11,Business or Consulting,Computing or Tech,Workday Manager,111807.152,0.0,GBP,USA,Falls Church,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Senior Support Specialist,64349.439999999995,0.0,GBP,USA,Hartford,Fully remote,8-10 years,Master's degree,Woman,White
2023-04-11,Education (Higher Education),Health care,Post-doctoral research fellow,44240.24,0.0,GBP,USA,Atlanta,Hybrid,5-7 years,PhD,Woman,Asian or Asian American
2023-04-11,Engineering or Manufacturing,Administration,Project Manager,55115.29536,4021.8399999999997,GBP,USA,Duluth,On-site,2-4 years,College degree,Woman,White
2023-04-11,Social Work,Administration,Human Resources Administrative Assistant,30086.1325,1191.53,GBP,Uganda,Barrie,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Librarian,62740.704,0.0,GBP,USA,New Haven,Hybrid,8-10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2023-04-11,"Accounting, Banking & Finance","Accounting, Banking & Finance",Senior Administrator,68371.28,6434.9439999999995,GBP,USA,Manhattan,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Sr. Software Engineer,112599.58499999999,0.0,GBP,Uganda,Toronto,Fully remote,8-10 years,College degree,Woman,"Black or African American, Middle Eastern or Northern African"
2023-04-11,Utilities & Telecommunications,Engineering or Manufacturing,Network Manager,49954.89525,5957.65,GBP,Uganda,Toronto,Hybrid,5-7 years,College degree,Woman,Asian or Asian American
2023-04-11,Law,Legal Research,Law Student Aide,30115.53792,0.0,GBP,USA,Chicago ,Hybrid,1 year or less,College degree,Woman,Asian or Asian American
2023-04-11,Property or Construction,"Accounting, Banking & Finance",Financial Administrator,41424.952,0.0,GBP,USA,Baltimore,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,Law,Law,Paralegal,39735.7792,402.18399999999997,GBP,USA,Cloquet,On-site,11-20 years,College degree,Woman,White
2023-04-11,Property or Construction,"Accounting, Banking & Finance",Controller,120655.2,14478.624,GBP,USA,Erie,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,Computing or Tech,Sales,Sales Analyst,80034.616,0.0,GBP,USA,Boston,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,"Marketing, Advertising & PR",Biotechnology & Pharma,Senior Project Director,84458.64,1608.7359999999999,GBP,USA,Boston,Fully remote,8-10 years,Master's degree,Woman,"Black or African American, White"
2023-04-11,Education (Higher Education),Computing or Tech,Network Engineer,52283.92,0.0,GBP,USA,Rapid City,On-site,2-4 years,College degree,Woman,White
2023-04-11,Business or Consulting,"Marketing, Advertising & PR",Internal Communications Manager,98132.896,21717.935999999998,GBP,USA,New York,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,Nonprofits,Music Therapy,music therapist,39574.9056,0.0,GBP,USA,Ferndale ,On-site,1 year or less,College degree,Woman,White
2023-04-11,"Marketing, Advertising & PR","Marketing, Advertising & PR",Marketing Consultant,83654.272,0.0,GBP,USA,NYC,Fully remote,8-10 years,College degree,Woman,White
2023-04-11,Law,Law,Counsel,124194.41919999999,8043.679999999999,GBP,USA,Cherry Hill,Hybrid,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Retail,"Marketing, Advertising & PR",Internal Communications Assistant ,37748.958875,0.0,GBP,Ireland,Dublin,Hybrid,5-7 years,Master's degree,Woman,White
2023-04-11,Business or Consulting,Administration,Administrator,29740.588799999998,0.0,GBP,Uganda,Whitby,On-site,31-40 years,High School,Woman,White
2023-04-11,Property or Construction,Recruitment or HR,Senior Administrative Assistant,69658.26879999999,8043.679999999999,GBP,USA,Norwalk,On-site,31-40 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2023-04-11,Media & Digital,Education (Higher Education),Taxonomy analyst,65958.17599999999,11261.152,GBP,USA,Boston,Fully remote,11-20 years,Master's degree,Woman,White
2023-04-11,Business or Consulting,Health care,Researcher,88480.48,0.0,GBP,USA,Chicago,Fully remote,5-7 years,Master's degree,Woman,White
2023-04-11,Law,Administration,Director of Administration,57914.496,2413.104,GBP,USA,Chicago Suburbs,On-site,5-7 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Senior Product Manager,150416.816,4826.208,GBP,USA,Long Beach,Fully remote,8-10 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Learning and Development Manager,60327.6,1608.7359999999999,GBP,USA,Denver,Hybrid,2-4 years,PhD,Woman,White
2023-04-11,Education (Higher Education),Instructional Design ,Manager of Instructional Design and Development,78023.696,0.0,GBP,USA,Minneapolis ,Hybrid,5-7 years,Master's degree,Woman,White
2023-04-11,Law,Government & Public Administration,Staff Attorney,68371.28,0.0,GBP,USA,New Orleans,On-site,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
2023-04-11,Media & Digital,Media & Digital,Assistant Editor,43838.056,0.0,GBP,USA,New York City,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Utilities & Telecommunications,Procurement,Team Lead Supply Chain,61036.12425,7324.33491,GBP,Uganda,Calgary,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Health care,Computing or Tech,Senior Software Engineer,136742.56,4021.8399999999997,GBP,USA,Northampton ,Fully remote,8-10 years,Some college,Non-binary,White
2023-04-11,Nonprofits,Hospitality & Events,"Senior Manager, Conferences and Events",64349.439999999995,0.0,GBP,USA,Tampa,Fully remote,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
2023-04-11,Insurance,Insurance,Business analyst,35745.9,0.0,GBP,Uganda,Winnipeg,Hybrid,2-4 years,Some college,Woman,White
2023-04-11,"Accounting, Banking & Finance","Accounting, Banking & Finance",Bookkeeper,47363.3175,1191.53,GBP,Uganda,Toronto,Hybrid,21-30 years,College degree,Woman,White
2023-04-11,Property or Construction,Property or Construction,Vice President,113415.88799999999,12065.52,GBP,USA,Rockville,Hybrid,21-30 years,Master's degree,Woman,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,55501.392,3217.4719999999998,GBP,USA,Bethesda,On-site,8-10 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,professional services consultant,61131.968,0.0,GBP,USA,Charleston,Fully remote,1 year or less,College degree,Woman,White
2023-04-11,Health care,Government Affairs & Lobbying,Public Policy Associate ,60327.6,0.0,GBP,USA,Portland ,Hybrid,8-10 years,Master's degree,Woman,White
2023-04-11,Education (Primary/Secondary),Administration,Admin Assistant to Superintendent of schools,61534.151999999995,804.3679999999999,GBP,USA,North of Boston,On-site,11-20 years,Some college,Woman,White
2023-04-11,Retail,Retail,Customer Service Clerk,25932.82432,64.34944,GBP,USA,Wichita,On-site,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Nonprofits,Computing or Tech,Data Analyst,58718.864,0.0,GBP,USA,New York City,Hybrid,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
2023-04-11,Business or Consulting,Biotechnology & Pharma,Human Factors Engineer,94513.23999999999,15685.176,GBP,USA,Boston,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Administration,Compliance and Communications Officer,100546.0,0.0,GBP,USA,Boston,Hybrid,31-40 years,College degree,Woman,White
2023-04-11,"Accounting, Banking & Finance",Underwriting ,Lending Officer ,83654.272,17535.2224,GBP,USA,Minneapolis ,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Associate Professor,56707.943999999996,1608.7359999999999,GBP,USA,Orlando,On-site,8-10 years,PhD,Woman,White
2023-04-11,"Accounting, Banking & Finance",Administration,COO,96524.16,0.0,GBP,USA,Nashville,Fully remote,8-10 years,College degree,Woman,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),Music Teacher (PreK - 8),40595.648592,804.3679999999999,GBP,USA,Charlottesville,On-site,5-7 years,College degree,Woman,White
2023-04-11,"Accounting, Banking & Finance",Computing or Tech,Data analyst,39163.185,0.0,GBP,Ireland,Dublin,Hybrid,2-4 years,PhD,Woman,White
2023-04-11,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Head of Digital Library,57000.0,0.0,GBP,UK,Edinburgh,Hybrid,11-20 years,Master's degree,Woman,White
2023-04-11,Nonprofits,Nonprofits,CACFP Coordinates ll,40605.301008,0.0,GBP,USA,Cedar Rapids ,Other/it's complicated,11-20 years,College degree,Woman,White
2023-04-11,Utilities & Telecommunications,Computing or Tech,Sr Lead Process Analyst,94111.056,0.0,GBP,USA,Columbus,Fully remote,21-30 years,College degree,Woman,Asian or Asian American
2023-04-11,Nonprofits,Data Analytics,QI & Planning Manager,60327.6,0.0,GBP,USA,Newark,Hybrid,5-7 years,Master's degree,Woman,White
2023-04-11,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Project Manager (Project Archivist),59945.5252,5994.150336,GBP,USA,New York CIty,Hybrid,8-10 years,Master's degree,Woman,White
2023-04-11,Media & Digital,Computing or Tech,Senior Data Analyst,120655.2,12065.52,GBP,USA,Salt Lake City,Fully remote,5-7 years,College degree,Man,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,48262.08,0.0,GBP,USA,Portage,On-site,11-20 years,Master's degree,Man,White
2023-04-11,Education (Higher Education),Education (Higher Education),Assistant Professor of Economics,80436.8,0.0,GBP,USA,Charlotte,On-site,2-4 years,PhD,Woman,White
2023-04-11,Education (Primary/Secondary),Nonprofits,Chief of Staff,127090.144,11261.152,GBP,USA,Ann Arbor,Fully remote,11-20 years,Master's degree,Woman,Middle Eastern or Northern African
2023-04-11,Health care,Administration,Executive Assistant,35745.9,0.0,GBP,Uganda,Ottawa,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Nonprofits,Nonprofits,Community Education and Outreach Manager,50192.5632,0.0,GBP,USA,Saint Paul,Hybrid,2-4 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Quality Control,Lead Quality Tech,33461.7088,9652.416,GBP,USA,Buffalo,On-site,11-20 years,Master's degree,Man,White
2023-04-11,Utilities & Telecommunications,Administration,Administrative Assistant,33143.179072,160.87359999999998,GBP,USA,Tallmadge,Hybrid,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Visiting Assistant Professor,44240.24,4826.208,GBP,USA,Atlanta,Hybrid,11-20 years,PhD,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Associate Director,120655.2,0.0,GBP,USA,Portland,Fully remote,11-20 years,Master's degree,Man,White
2023-04-11,Insurance,"Accounting, Banking & Finance",Insurance Data Analyst,55099.208,0.0,GBP,USA,Omaha,Hybrid,1 year or less,Master's degree,Woman,White
2023-04-11,Nonprofits,Computing or Tech,Database Manager,56305.759999999995,0.0,GBP,USA,Denver,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Content Writer,56305.759999999995,804.3679999999999,GBP,USA,Easthampton,Hybrid,8-10 years,College degree,Man,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,Data manager,68371.28,0.0,GBP,USA,Auburn Hills ,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,Education (Primary/Secondary),Computing or Tech,Programmer Analyst,66762.544,0.0,GBP,USA,Madison,Fully remote,11-20 years,College degree,Man,White
2023-04-11,Nonprofits,Nonprofits,Salesforce Business Analyst,90089.216,0.0,GBP,USA,Augusta,Fully remote,2-4 years,College degree,Woman,White
2023-04-11,Computing or Tech,"Marketing, Advertising & PR",Senior Email Developer,79342.85952,0.0,GBP,USA,Remote worker,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Art & Design,"Galleries, Libraries, Archives & Museums",Editor,48262.08,0.0,GBP,USA,Denver,Hybrid,8-10 years,Master's degree,Woman,White
2023-04-11,Transport or Logistics,Transport or Logistics,Dispatch,41827.136,3217.4719999999998,GBP,USA,Denver,On-site,8-10 years,Some college,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Director of Career Services,52384.466,0.0,GBP,USA,Portland,On-site,5-7 years,Master's degree,Woman,White
2023-04-11,Media & Digital,"Marketing, Advertising & PR",Associate Publicity Director,80034.616,3016.38,GBP,USA,New York,Other/it's complicated,11-20 years,College degree,Woman,White
2023-04-11,Health care,"Marketing, Advertising & PR",Content & Editorial Specialist,46653.344,0.0,GBP,USA,Greenville,On-site,8-10 years,College degree,Woman,White
2023-04-11,Law,Administration,IP Paralegal,82045.536,4021.8399999999997,GBP,USA,Philadelphia,Fully remote,21-30 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Program Chair,48262.08,0.0,GBP,USA,South Bend,On-site,21-30 years,PhD,Woman,White
2023-04-11,Computing or Tech,"Marketing, Advertising & PR",Content Marketer,64349.439999999995,0.0,GBP,USA,Louisville,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Computing or Tech,IT Manager,42000.0,0.0,GBP,UK,Swindon,On-site,21-30 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African"
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,48262.08,0.0,GBP,USA,Boston,,5-7 years,Master's degree,Woman,White
2023-04-11,Engineering or Manufacturing,Administration,Customer Ser4vice Coordinator,45044.608,0.0,GBP,USA,Brockton,On-site,2-4 years,College degree,Woman,White
2023-04-11,"Marketing, Advertising & PR",Computing or Tech,Director of Product,88480.48,0.0,GBP,USA,Chicago,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Media & Digital,Media & Digital,Editor,96524.16,12065.52,GBP,USA,"Metro Washington, D.C.",Fully remote,11-20 years,Master's degree,Woman,White
2023-04-11,Computing or Tech,Engineering or Manufacturing,Senior Android Engineer,144786.24,0.0,GBP,USA,Providence RI,Fully remote,5-7 years,College degree,Woman,White
2023-04-11,Property or Construction,"Accounting, Banking & Finance",Operations Controller ,100546.0,11261.152,GBP,USA,Issaquah,Hybrid,21-30 years,Some college,Woman,White
2023-04-11,Media & Digital,Publishing,Editor,43514.65,870.293,GBP,France,Paris,On-site,2-4 years,Master's degree,Woman,White
2023-04-11,Education (Higher Education),Communications,Communications Specialist,61939.553472,0.0,GBP,USA,Ann Arbor,On-site,2-4 years,Master's degree,Woman,White
2023-04-11,Insurance,Art & Design,Senior Creative Designer,88480.48,0.0,GBP,USA,Media,Fully remote,11-20 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,Principal Systems Engineer,106176.576,0.0,GBP,USA,Cedar Rapids,On-site,8-10 years,Master's degree,Woman,White
2023-04-11,Nonprofits,Law,assistant general counsel,80436.8,2413.104,GBP,USA,washington dc,Hybrid,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Computing or Tech,Engineering or Manufacturing,Senior Software Engineer,159586.61119999998,15282.992,GBP,USA,Boston (company is based in SF),Fully remote,5-7 years,Master's degree,Woman,White
2023-04-11,Nonprofits,Administration,Vice President Sponsored Programs,144786.24,8043.679999999999,GBP,USA,Dallas,Fully remote,21-30 years,Master's degree,Woman,White
2023-04-11,Education (Primary/Secondary),Education (Primary/Secondary),Learning Support Teacher,47992.307485,0.0,GBP,Ireland,Cork,On-site,11-20 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,AR Administrator,25982.695136,0.0,GBP,USA,Winston-Salem,Fully remote,1 year or less,College degree,Woman,White
2023-04-11,Health care,Health care,RN Case Manager,56305.759999999995,5228.392,GBP,USA,"Memphis, TN",On-site,1 year or less,College degree,Woman,White
2023-04-11,Computing or Tech,"Marketing, Advertising & PR",PR Manager,71491.8,0.0,GBP,Uganda,Toronto,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,Business or Consulting,Administration,Industry chief of staff,153714.7248,8848.047999999999,GBP,USA,Atlanta,Fully remote,11-20 years,Master's degree,Man,White
2023-04-11,Media & Digital,Media & Digital,Editor II,72393.12,0.0,GBP,USA,NYC metro area,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,Health care,"Marketing, Advertising & PR",Associate Medical Director,98695.9536,4021.8399999999997,GBP,USA,New Hope,Hybrid,8-10 years,Master's degree,Woman,White
2023-04-11,Law,Law,Partner,402184.0,40218.4,GBP,USA,Houston,On-site,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Assistant Professor ,71267.0048,0.0,GBP,USA,Iowa City ,On-site,8-10 years,PhD,Woman,Black or African American
2023-04-11,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Copywriter,57914.496,0.0,GBP,USA,Kansas City,Fully remote,21-30 years,College degree,Woman,White
2023-04-11,Engineering or Manufacturing,Property or Construction,Land Surveyor,68371.28,3217.4719999999998,GBP,USA,South Bend,On-site,5-7 years,College degree,Woman,White
2023-04-11,Nonprofits,Nonprofits,"Development Officer, Events ",32767.075,0.0,GBP,Uganda,Toronto,Hybrid,5-7 years,Some college,Woman,White
2023-04-11,Engineering or Manufacturing,Engineering or Manufacturing,Project Manager,79098.33164799999,0.0,GBP,USA,El Cajon,Other/it's complicated,11-20 years,Some college,Woman,White
2023-04-11,Recruitment or HR,Computing or Tech,Database administrator,78828.064,6434.9439999999995,GBP,USA,Boston,Fully remote,2-4 years,College degree,Woman,White
2023-04-11,Law,Law,Paralegal,48852.729999999996,1787.295,GBP,Uganda,Vancouver,On-site,11-20 years,College degree,Woman,White
2023-04-11,Computing or Tech,Computing or Tech,Jr. System Administator,54697.024,2413.104,GBP,USA,Cedar Rapids,Fully remote,2-4 years,Some college,Man,White
2023-04-11,Utilities & Telecommunications,Law,Counsel,134329.456,5630.576,GBP,USA,Philadelphia,Fully remote,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
2023-04-11,Business or Consulting,Research,Researcher,96524.16,0.0,GBP,USA,Brooklyn,Fully remote,8-10 years,PhD,Woman,White
2023-04-11,Sales,"Marketing, Advertising & PR",Product Coordinator,32979.087999999996,402.18399999999997,GBP,USA,Grand Rapids,On-site,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Lecturer,48671.503312,0.0,GBP,USA,Los Angeles,On-site,5-7 years,PhD,Woman,White
2023-04-11,Engineering or Manufacturing,Computing or Tech,Senior Data Scientist,75000.0,0.0,GBP,UK,London,Hybrid,2-4 years,Master's degree,Woman,Asian or Asian American
2023-04-11,Business or Consulting,Government & Public Administration,Assessment Planner,74683.155696,0.0,GBP,USA,Albuquerque,On-site,5-7 years,Master's degree,Woman,White
2023-04-11,Health care,Training,Operations Trainer II,48262.08,0.0,GBP,USA,Minnetonka,Hybrid,8-10 years,College degree,Woman,White
2023-04-11,"Leisure, Sport & Tourism",Media & Digital,Development Editor,47296.8384,3217.4719999999998,GBP,USA,Orlando,Hybrid,5-7 years,College degree,Woman,White
2023-04-11,"Accounting, Banking & Finance",Computing or Tech,CTO,68000.0,0.0,GBP,UK,Glasgow,Fully remote,21-30 years,College degree,Man,White
2023-04-11,Law,Administration,Conflict Analyst,37000.0,2000.0,GBP,UK,Leeds,Hybrid,2-4 years,College degree,Woman,White
2023-04-11,Retail,Engineering or Manufacturing,Quality Assurance Engineer,70389.439312,7239.312,GBP,USA,Chicago,Fully remote,2-4 years,College degree,Woman,White
2023-04-11,Art & Design,"Galleries, Libraries, Archives & Museums",Curator,72393.12,0.0,GBP,USA,Miami,Hybrid,8-10 years,College degree,Woman,Black or African American
2023-04-11,Law,Government & Public Administration,public defender,82817.72928,0.0,GBP,USA,Albuquerque,Hybrid,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
2023-04-11,Education (Higher Education),"Marketing, Advertising & PR",Asst. Dir of Marketing ,47457.712,0.0,GBP,USA,Washington DC,Fully remote,8-10 years,College degree,Woman,White
2023-04-11,Education (Primary/Secondary),Computing or Tech,Data Analyst IV,72393.12,0.0,GBP,USA,North Central CO,On-site,11-20 years,College degree,Woman,White
2023-04-11,Education (Higher Education),Media & Digital,Development Associate,37805.296,0.0,GBP,USA,Omaha,On-site,1 year or less,College degree,Woman,White
2023-04-11,Education (Higher Education),Education (Higher Education),Assistant Professor ,50675.184,0.0,GBP,USA,Baltimore County ,Other/it's complicated,8-10 years,PhD,Woman,White
2023-04-11,Business or Consulting,Business or Consulting,Research Project Manager,68773.46399999999,804.3679999999999,GBP,USA,Fairfax,Fully remote,2-4 years,Master's degree,Woman,White
