Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Education (Higher Education),Coordinator,40630,0,USA,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Senior Advisor,47409,0,Uganda,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
Property or Construction,Safety Director,81261,19534,USA,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
Education (Primary/Secondary),Secondary School Educator,45008,0,Uganda,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
Education (Higher Education),Research Programmer,54695,0,USA,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
Nonprofits,"Manager, Natural Climate Solutions Development",65634,6563,USA,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
Health care,AR Manager,41412,0,USA,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,Technical specialist,26566,1562,USA,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Programming Coordinator,29691,0,USA,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
Government and Public Administration,City Research Scientist II,67978,0,USA,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
Insurance,Pricing Analyst,45000,2000,UK,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
Engineering or Manufacturing,Marketing Coordinator,35161,0,USA,Columbia,5-7 years,5-7 years,Some college,Woman,White
Nonprofits,Supervisory Archivist,55476,0,USA,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Program Manager,55476,0,USA,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
Education (Primary/Secondary),High School Teacher at an independent school,58602,0,USA,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Manager of Market Research and Data,62509,0,USA,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,Senior Business Analyst,97670,0,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Special Collections Cataloger,50788,0,USA,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Primary/Secondary),Teacher ,36000,0,UK,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
Nonprofits,Graphic Designer / Webmaster,42974,0,USA,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
Art & Design,Senior UX Designer,70322,781,USA,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
Engineering or Manufacturing,Senior Engineer ,82043,10157,USA,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Office Administrator,36007,0,Uganda,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
Education (Higher Education),Digital Archivist,50788,0,USA,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Business or Consulting,Associate Program Manager,66415,6641,USA,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
Sales,CSR,30879,0,USA,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
Computing or Tech,Director of Engineering,69013,0,Uganda,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
Business or Consulting,Senior Vice President of Marketing,140645,46881,USA,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Accounting Manager,70322,0,USA,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
Government and Public Administration,Technical Assistant,19300,0,UK,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
Business or Consulting,Senior Administrative Assistant and Project Specialist,50788,3906,USA,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,senior web application developer,76703,0,USA,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
Education (Primary/Secondary),Director of Development,49616,0,USA,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
Nonprofits,Program & Administrative Assistant,37271,1562,USA,Washington,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Chief Engineer,67978,6250,USA,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
Media & Digital,Production Co-ordinator,28805,0,Uganda,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Administrative Support Assistant,30969,238,USA,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
Government and Public Administration,Administrative Officer,41412,0,USA,Troy,8 - 10 years,5-7 years,College degree,Man,White
Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,36923,0,USA,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
Health care,Customer Service Representative,26848,0,USA,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Engineering or Manufacturing,Senior Device Engineer,117204,15627,USA,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
Hospitality & Events,Graphic Designer,58602,0,USA,New York City,5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),Graduate Student,15627,0,USA,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Senior Financial Analyst,83777,12566,USA,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
Government and Public Administration,Case Manager,46809,0,Uganda,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
Education (Higher Education),Professor,74229,7813,USA,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
Sales,Office Manager,32817,0,USA,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Finance Manager,78136,3906,USA,New York,5-7 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Software engineer,50000,0,UK,Nottingham,5-7 years,2 - 4 years,High School,Man,White
Education (Higher Education),Medical Education Director,92982,1953,USA,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Finance acountant,66000,5000,UK,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Transport or Logistics,Program manager,51673,2583,Netherlands,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Education (Higher Education),Associate Director of Donor Relations,58602,0,USA,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Assistant Professor of Law,113297,11720,USA,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
"Accounting, Banking & Finance",investment advisor,57011,6001,Uganda,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
"Marketing, Advertising & PR",Content Writer,37505,1562,USA,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Assistant Director of Finance,58602,7813,USA,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
Media & Digital,Digital Marketing Specialist,32817,0,USA,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
Nonprofits,Archivist,42193,78,USA,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Assistant Professor,55210,0,Uganda,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
Government and Public Administration,Head of Public Sector Data Sharing ,50870,0,UK,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Content Development Manager,79308,0,USA,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
Media & Digital,news editor,66415,0,USA,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Senior Administrative Assistant ,48444,0,USA,Cambridge,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Product Manager,101577,0,USA,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
Education (Higher Education),career services professional,42974,0,USA,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Government and Public Administration,Project Coordinator,46112,0,USA,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
Business or Consulting,"Associate Manager, Education",55476,2344,USA,New York City,5-7 years,5-7 years,College degree,Woman,White
Social Work,Director,41412,0,USA,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Project Estimator,74229,3906,USA,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
Nonprofits,Customer Advocate,27347,2344,USA,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
Hospitality & Events,Customer Service Specialist,26003,390,USA,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
"Accounting, Banking & Finance",Accounts Payable Manager,43756,1953,USA,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
Education (Higher Education),Associate Director,66415,0,USA,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Editor,48444,0,USA,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
Law,Staff Attorney,57820,0,USA,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
Nonprofits,Program Associate,49225,781,USA,DC,5-7 years,2 - 4 years,College degree,Woman,White
Recruitment or HR,Senior People Advisor,45000,10000,UK,London,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),English as a Second Language Teacher,15502,0,Spain,,8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Online Sales Support Manager,67197,4688,USA,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Research Technologist,32817,0,USA,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
Insurance,Senior Client Service Representative,57039,0,USA,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
Nonprofits,Funding Manager,54000,0,UK,London,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,Clinical analyst,78136,0,USA,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Policy Analyst ,46982,2344,USA,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
Computing or Tech,Service Designer,101577,0,USA,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
"Accounting, Banking & Finance",Senior Accountant,46881,0,USA,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
Nonprofits,Administrative Assistant,28910,0,USA,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,User experience specialist,66415,2344,USA,Charleston,5-7 years,5-7 years,College degree,Woman,White
Media & Digital,Self-employed writer,35161,15627,USA,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
Nonprofits,Director of Development,71885,0,USA,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
Health care,occupational therapist,30,0,Finland,helsinki,2 - 4 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Production Technician,50788,3125,USA,Madison,5-7 years,2 - 4 years,College degree,Man,White
"Marketing, Advertising & PR",Graphic Designer,27347,0,USA,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
"Accounting, Banking & Finance",Compliance Officer,57820,781,USA,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Director of Intelligence,80089,15627,USA,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
Nonprofits,Coordinator of Survivor Services,54695,0,USA,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,Software Development Manager,109390,3906,USA,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
Nonprofits,HR director,47819,0,USA,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Marketing Director ,85000,10000,UK,London ,8 - 10 years,8 - 10 years,College degree,Woman,White
Recruitment or HR,Talent Acquisition Specialist,51569,0,USA,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,technical support specialist,54695,0,USA,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
Education (Higher Education),Communications Specialist,40630,0,USA,Boston,5-7 years,5-7 years,College degree,Woman,White
Property or Construction,CAD Manager,58992,3906,USA,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White
"Marketing, Advertising & PR",Content Strategist and Writer,44537,0,USA,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Associate,65009,0,USA,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
"Marketing, Advertising & PR","Manager, Planning",60555,0,USA,New York City ,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
Retail,Fulfillment Expert,24378,0,USA,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
Health care,Midwife,31000,1000,UK,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
Law,Senior Corporate Counsel,171899,0,USA,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
Retail,Head of Data & Analytics,78136,0,USA,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Systems Analyst,62509,0,USA,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Librarian,41021,0,USA,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
Media & Digital,UX designer,31004,0,France,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Lead business controls specialist,73448,0,USA,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Product Engineer,44537,0,USA,Seattle,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Senior Technical Writer,64853,6250,USA,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Senior Director,70322,0,USA,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
Hospitality & Events,Hotel Sales Manager,52312,0,USA,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
Government and Public Administration,Planner,59383,0,USA,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Engineering or Manufacturing,Principal Engineer,52000,6000,UK,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Information and Program Manager,54695,3906,USA,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Assistant Professor,46881,1953,USA,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White
Engineering or Manufacturing,Media and PR,62509,0,USA,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Technical assistance provider,54695,0,USA,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Library Specialist,26799,0,USA,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Strategic Operations and Programme Manager,90000,0,UK,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),"Assistant Director, Student Affairs",39068,0,USA,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Hospitality & Events,Director of Client Services,66415,0,USA,New York City,11 - 20 years,5-7 years,College degree,Woman,White
Retail,Loss prevention manager,67978,11720,USA,San Jose,8 - 10 years,2 - 4 years,High School,Woman,White
Law,Associate Attorney,97670,0,USA,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
Law,Attorney,214874,0,USA,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Engineering or Manufacturing,Software engineer,108609,7032,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
Law,Paralegal / Legal Assistant,42256,390,USA,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White
Insurance,Manager & Actuary,132831,23440,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Marketing Manager,36007,0,Uganda,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White
Education (Primary/Secondary),Librarian,54695,781,USA,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
Nonprofits,Communications Associate,41412,0,USA,Washington,5-7 years,2 - 4 years,College degree,Woman,White
Health care,Cytotechnologist ,64196,0,USA,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Recruitment or HR,Onboarding Partner,55476,0,USA,buffalo,11 - 20 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Graduate Research Assitant,20081,0,USA,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Education (Higher Education),"Librarian, non-supervisory",60164,0,USA,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Health care,Content Strategist,39068,0,USA,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
Government and Public Administration,Public Service Tech,24703,0,USA,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White
Government and Public Administration,EOS,74229,1562,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Business or Consulting,Data Analyst,48444,0,USA,Braintree,1 year or less,1 year or less,College degree,Woman,White
Education (Primary/Secondary),High school teacher ,55476,0,USA,New York ,5-7 years,5-7 years,College degree,Non-binary,White
Computing or Tech,Business Analyst,68759,0,USA,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Property or Construction,Assistant to Property Managers,24612,0,USA,Columbia,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
Health care,IT Training Specialist,59383,0,USA,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White
Health care,Principal Statistical Programmer,128924,23440,USA,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary,White
"Accounting, Banking & Finance",Reporting Analyst ,35755,0,USA,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
"Marketing, Advertising & PR",Communications Manager,67197,0,USA,Orlando,5-7 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Project Manager,46953,0,Uganda,Calgary,5-7 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Admissions Advisor,43756,0,USA,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White
Law,Associate,97670,0,USA,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White
Property or Construction,Assistant Project Manager,42974,0,USA,Jacksonville,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Supply chain manager,97670,39068,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,RN,46881,0,USA,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
Law,Associate,148458,0,USA,Boston,1 year or less,1 year or less,Master's degree,Woman,White
Utilities & Telecommunications,Land Analyst,47131,0,USA,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman,White
Education (Primary/Secondary),teacher,73448,0,USA,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
Health care,NP-PHC,58811,0,Uganda,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Government and Public Administration,Administrative Assistant,38286,0,USA,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White
Nonprofits,Director of Development,93763,0,USA,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Teaching Assistant,21878,0,USA,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
Recruitment or HR,Consultant,105484,0,USA,"Chicago area mostly, but also the US and Canada",31 - 40 years,31 - 40 years,College degree,Woman,White
Education (Higher Education),Advancement Accounting Assistant,31703,0,USA,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White
Nonprofits,Senior monitoring & evaluation adviser ,58992,0,USA,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Copy supervisor,89856,9376,USA,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
Government and Public Administration,Policy analyst ,54695,0,USA,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Visual Designer,85949,1093,USA,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman,White
Agriculture or Forestry,Engineering Student Trainee,22659,0,USA,Rapid City,1 year or less,1 year or less,Some college,Woman,White
"Marketing, Advertising & PR",Graphic Designer,47663,0,USA,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
Nonprofits,Information Technology Specialist,36919,0,USA,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White
Engineering or Manufacturing,Sr. Piping Designer,75010,3125,USA,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White
Computing or Tech,Network Managet,223919,0,Germany,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary,White
Nonprofits,Digital Marketing Specialist,35161,0,USA,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Editor,61076,0,USA,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Senior Operations Manager,103530,42974,USA,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,"IT Manager, Financial Systems",96889,0,USA,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White
